id	x	y	riistajalajiNimi
218	292912.214	6678324.997	Valkohntpeura
219	204731.024	6720024.014	Valkohntpeura
220	582114.075	7103987.091	Metspeura
221	292005.61	6926904.565	Metskauris
222	299949.391	6655740.734	Valkohntpeura
223	444024.266	6754898.861	Hirvi
224	370072.634	6804025.615	Hirvi
225	444094.086	6754874.687	Hirvi
226	285745.096	6992454.947	Valkohntpeura
227	287086.744	6728518.916	Valkohntpeura
228	449436.091	6747026.817	Hirvi
229	265971.423	6702980.704	Valkohntpeura
230	264236.852	7024025.606	Valkohntpeura
231	396348.45	6729803.104	Metskauris
232	299090.654	6812637.473	Valkohntpeura
233	312523.078	6800516.572	Valkohntpeura
234	259319.968	6709712.187	Valkohntpeura
235	233759.936	6703066.253	Metskauris
236	348553.118	6665269.09	Valkohntpeura
237	281959.352	6739882.143	Valkohntpeura
238	238812.439	6693996.395	Valkohntpeura
239	191281.161	6755950.594	Metskauris
240	444041.296	6754892.966	Hirvi
241	205995.737	6793201.663	Metskauris
242	311950.28	6702292.81	Hirvi
243	527693.491	6829286.016	Valkohntpeura
244	567675.665	7162637.103	Hirvi
245	204203.339	6739434.975	Valkohntpeura
246	297288.19	6785285.121	Valkohntpeura
247	322607.86	6856431.717	Metskauris
248	261719.978	6745786.619	Valkohntpeura
249	376450.129	6808932.79	Valkohntpeura
250	223883.961	6803518.995	Hirvi
251	316635.872	6775492.63	Valkohntpeura
252	504815.045	6971733.999	Hirvi
253	368909.579	6864155.168	Hirvi
254	532208.563	7421918.131	Hirvi
255	358723.546	6768976.005	Valkohntpeura
256	437978.887	6981196.161	Hirvi
257	336508.954	6817377.772	Valkohntpeura
258	193880.777	6756724.633	Metskauris
259	245069.439	6824386.016	Hirvi
260	382896.813	6704863.417	Valkohntpeura
261	590232.087	7376246.488	Hirvi
262	456080.227	7117152.775	Hirvi
263	297119.468	6739896.183	Valkohntpeura
264	562768.59	7157322.974	Hirvi
265	374512.525	6770518.542	Valkohntpeura
266	495580.577	6734137.73	Metskauris
267	514018.892	6897348.256	Hirvi
268	537566.22	7262636.456	Hirvi
269	576705.53	7269653.244	Hirvi
270	396328.457	6775143.449	Metskauris
271	271757.636	6810869.239	Valkohntpeura
272	583606.336	6808930.263	Hirvi
273	454045.007	6798554.466	Metskauris
274	631210.712	7041120.723	Metskauris
275	283590.661	6953860.204	Hirvi
276	437111.296	6934058.038	Hirvi
277	391647.809	6771026.349	Valkohntpeura
278	203806.788	6726478.377	Metskauris
279	206587.4	6728094.329	Valkohntpeura
280	430166.656	6811923.356	Valkohntpeura
281	441563.916	7107596.363	Hirvi
282	368060.828	6752689.985	Valkohntpeura
283	329044.874	6692952.723	Valkohntpeura
284	324880.401	6689812.259	Valkohntpeura
285	324565.239	6688767.167	Hirvi
286	249817.584	7013977.379	Hirvi
287	378105.144	7049845.914	Metspeura
288	232320.106	6758686.693	Valkohntpeura
289	331930.11	6669143.749	Valkohntpeura
290	203031.969	6957451.623	Metskauris
291	658442.049	7009472.795	Hirvi
292	433402.386	7100373.523	Hirvi
293	252662.929	6766443.114	Valkohntpeura
294	503867.79	6976615.056	Metskauris
295	313266.507	6782625.38	Valkohntpeura
296	322494.969	6773451.275	Valkohntpeura
297	581674.043	6778026.558	Metskauris
298	203845.053	6896196.721	Valkohntpeura
299	282943.214	6924261.87	Metskauris
300	391055.791	6707990.842	Metskauris
301	310424.011	6710796.536	Metskauris
302	316327.785	6775530.085	Metskauris
303	415038.512	6714619.312	Valkohntpeura
304	223888.073	6682707.606	Valkohntpeura
305	216949.174	6797313.934	Metskauris
306	219968.606	6681343.421	Valkohntpeura
307	309490.886	6769165.447	Valkohntpeura
308	203325.363	6801746.191	Hirvi
309	305822.329	6777786.318	Valkohntpeura
310	318824.108	6778380.164	Valkohntpeura
311	318201.764	6779630.1	Valkohntpeura
312	314561.434	6777960.348	Valkohntpeura
313	316279.163	6778916.656	Valkohntpeura
314	321616.29	6773391.894	Valkohntpeura
315	347221.358	6675517.479	Valkohntpeura
316	341866.121	6887274.318	Valkohntpeura
317	234662.464	6797866.839	Metskauris
318	222914.556	6729258.158	Valkohntpeura
319	277802.842	6805139.169	Valkohntpeura
320	339190.455	6784827.046	Metskauris
321	211607.734	6923404.363	Hirvi
322	320001.544	6720050.183	Metskauris
323	294214.321	6805035.202	Valkohntpeura
324	336116.451	6784947.272	Metskauris
325	623400.545	6853262.552	Metskauris
326	227942.024	6722485.521	Valkohntpeura
327	333362.545	6991977.947	Metspeura
328	219013.466	6825997.016	Metskauris
329	314337.203	6799193.806	Valkohntpeura
330	497454.75	6764520.612	Hirvi
331	305595.94	6815769.042	Hirvi
332	484672.315	6752183.871	Metskauris
333	276437.65	6724503.259	Valkohntpeura
334	331473.484	6667487.192	Valkohntpeura
335	224171.755	6727721.952	Valkohntpeura
336	246287.034	6704202.641	Metskauris
337	353780.437	6723603.025	Valkohntpeura
338	316928.215	6779214.38	Valkohntpeura
339	456200.912	7352828.421	Hirvi
340	354693.568	6740880.235	Valkohntpeura
341	317985.519	6797100.766	Valkohntpeura
342	265537.428	6838817.211	Metskauris
343	259721.324	6709721.384	Metskauris
344	362498.384	6731464.566	Valkohntpeura
345	450176.01	6717419.071	Metskauris
346	350516.947	6739791.451	Valkohntpeura
347	299582.246	6906339.543	Metskauris
348	270104.904	6765139.809	Valkohntpeura
349	320496.815	6818056.883	Metskauris
350	240610.243	6854859.736	Hirvi
351	314645.844	6799105.401	Valkohntpeura
352	339272.119	6784860.705	Metskauris
353	207724.349	6729329.783	Valkohntpeura
354	346260.071	6741381.758	Valkohntpeura
355	267551.739	6721523.596	Valkohntpeura
356	325273.416	6795164.913	Metskauris
357	282128.306	6713998.476	Valkohntpeura
358	277009.51	6726886.79	Valkohntpeura
359	240441.143	6684153.05	Metskauris
360	259230.438	6664670.993	Metskauris
361	266853.702	6758047.549	Valkohntpeura
362	325106.56	6794880.555	Valkohntpeura
363	575658.103	7108318.269	Metspeura
364	359904.805	6840322.922	Metskauris
365	243982.25	6700342.214	Valkohntpeura
